2026-06-17 15:35:24,931 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,936 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,939 INFO Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-17 15:35:24,944 INFO Added job "send_morning_messages" to job store "default"
2026-06-17 15:35:24,945 INFO Added job "check_task_notifications" to job store "default"
2026-06-17 15:35:24,946 INFO Added job "check_reminders" to job store "default"
2026-06-17 15:35:24,947 INFO Scheduler started
2026-06-17 15:35:24,947 INFO Notification scheduler started (Asia/Tashkent timezone)
2026-06-17 15:35:24,948 INFO Bot ishga tushdi...
2026-06-17 15:35:24,949 INFO Start polling
2026-06-17 15:35:25,362 INFO Run polling for bot @Mars_F2_1985_bot id=8218372259 - 'dars_uchun'
2026-06-17 15:36:24,941 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:37:24 +05)" (scheduled at 2026-06-17 15:36:24.936401+05:00)
2026-06-17 15:36:24,948 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:37:24 +05)" (scheduled at 2026-06-17 15:36:24.939426+05:00)
2026-06-17 15:36:24,987 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:37:24 +05)" executed successfully
2026-06-17 15:36:24,988 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:37:24 +05)" executed successfully
2026-06-17 15:37:24,944 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:38:24 +05)" (scheduled at 2026-06-17 15:37:24.936401+05:00)
2026-06-17 15:37:24,952 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:38:24 +05)" (scheduled at 2026-06-17 15:37:24.939426+05:00)
2026-06-17 15:37:24,959 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:38:24 +05)" executed successfully
2026-06-17 15:37:24,959 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:38:24 +05)" executed successfully
2026-06-17 15:38:24,947 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:39:24 +05)" (scheduled at 2026-06-17 15:38:24.936401+05:00)
2026-06-17 15:38:24,956 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:39:24 +05)" (scheduled at 2026-06-17 15:38:24.939426+05:00)
2026-06-17 15:38:24,962 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:39:24 +05)" executed successfully
2026-06-17 15:38:24,963 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:39:24 +05)" executed successfully
2026-06-17 15:39:24,950 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:40:24 +05)" (scheduled at 2026-06-17 15:39:24.936401+05:00)
2026-06-17 15:39:24,957 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:40:24 +05)" (scheduled at 2026-06-17 15:39:24.939426+05:00)
2026-06-17 15:39:24,966 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:40:24 +05)" executed successfully
2026-06-17 15:39:24,966 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:40:24 +05)" executed successfully
2026-06-17 15:40:24,939 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:41:24 +05)" (scheduled at 2026-06-17 15:40:24.936401+05:00)
2026-06-17 15:40:24,943 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:41:24 +05)" (scheduled at 2026-06-17 15:40:24.939426+05:00)
2026-06-17 15:40:24,946 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 15:41:24 +05)" executed successfully
2026-06-17 15:40:24,947 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 15:41:24 +05)" executed successfully
2026-06-17 16:08:28,292 ERROR Failed to fetch updates - TelegramNetworkError: HTTP Client says - Request timeout error
2026-06-17 16:08:28,294 WARNING Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8218372259)
2026-06-17 16:08:28,298 WARNING Run time of job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 16:09:24 +05)" was missed by 0:00:03.362568
2026-06-17 16:08:28,300 WARNING Run time of job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 16:09:24 +05)" was missed by 0:00:03.360541
2026-06-17 16:08:29,314 ERROR Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [getaddrinfo failed]
2026-06-17 16:08:29,315 WARNING Sleep for 1.351897 seconds and try again... (tryings = 1, bot id = 8218372259)
2026-06-17 16:08:30,673 ERROR Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [getaddrinfo failed]
2026-06-17 16:08:30,674 WARNING Sleep for 1.773410 seconds and try again... (tryings = 2, bot id = 8218372259)
2026-06-17 16:08:32,459 ERROR Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [getaddrinfo failed]
2026-06-17 16:08:32,461 WARNING Sleep for 2.391425 seconds and try again... (tryings = 3, bot id = 8218372259)
2026-06-17 21:11:21,090 WARNING Run time of job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:11:24 +05)" was missed by 0:00:56.154507
2026-06-17 21:11:21,092 WARNING Run time of job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:11:24 +05)" was missed by 0:00:56.152636
2026-06-17 21:11:21,092 ERROR Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [getaddrinfo failed]
2026-06-17 21:11:21,095 WARNING Sleep for 3.028469 seconds and try again... (tryings = 4, bot id = 8218372259)
2026-06-17 21:11:24,133 ERROR Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [getaddrinfo failed]
2026-06-17 21:11:24,133 WARNING Sleep for 3.824968 seconds and try again... (tryings = 5, bot id = 8218372259)
2026-06-17 21:11:24,945 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:12:24 +05)" (scheduled at 2026-06-17 21:11:24.936401+05:00)
2026-06-17 21:11:24,945 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:12:24 +05)" (scheduled at 2026-06-17 21:11:24.939426+05:00)
2026-06-17 21:11:24,950 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:12:24 +05)" executed successfully
2026-06-17 21:11:24,950 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:12:24 +05)" executed successfully
2026-06-17 21:11:38,269 INFO Connection established (tryings = 6, bot id = 8218372259)
2026-06-17 21:12:24,955 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:13:24 +05)" (scheduled at 2026-06-17 21:12:24.936401+05:00)
2026-06-17 21:12:24,963 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:13:24 +05)" (scheduled at 2026-06-17 21:12:24.939426+05:00)
2026-06-17 21:12:24,971 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:13:24 +05)" executed successfully
2026-06-17 21:12:24,971 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:13:24 +05)" executed successfully
2026-06-17 21:13:24,945 INFO Running job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:14:24 +05)" (scheduled at 2026-06-17 21:13:24.936401+05:00)
2026-06-17 21:13:24,953 INFO Running job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:14:24 +05)" (scheduled at 2026-06-17 21:13:24.939426+05:00)
2026-06-17 21:13:24,962 INFO Job "check_task_notifications (trigger: interval[0:01:00], next run at: 2026-06-17 21:14:24 +05)" executed successfully
2026-06-17 21:13:24,963 INFO Job "check_reminders (trigger: interval[0:01:00], next run at: 2026-06-17 21:14:24 +05)" executed successfully
